id,comentario
30,El resultado fue FANTASTICO
3,El producto es BUENO y funciona correctamente
142,El producto tiene color negro
65,La calidad es PERFECTA
267,La calidad es DEFICIENTE
291,El pedido llegó dañado
171,El producto viene en una caja
223,El servicio fue MALO
290,El pedido llegó dañado
205,El producto tiene garantía de un año
153,La compra se realizó el lunes
109,El producto llegó ayer
262,El producto llegó incompleto
161,El pedido llegó a las diez
40,La experiencia fue MAGNIFICA
29,El resultado fue FANTASTICO
304,El producto presentó problemas
257,El producto llegó incompleto
127,El paquete llegó cerrado
131,El paquete llegó cerrado
192,El paquete fue entregado en recepción
218,El servicio fue MALO
93,La atención fue GENIAL
209,El producto llegó roto
227,La atención fue PESIMA
110,El producto llegó ayer
150,La compra se realizó el lunes
193,El paquete fue entregado en recepción
138,El producto tiene color negro
144,El producto tiene color negro
264,El producto llegó incompleto
258,El producto llegó incompleto
68,La calidad es PERFECTA
37,La experiencia fue MAGNIFICA
118,La entrega fue por la mañana
165,El pedido llegó a las diez
287,El pedido llegó dañado
128,El paquete llegó cerrado
168,El producto viene en una caja
204,El producto tiene garantía de un año
208,El producto llegó roto
269,La calidad es DEFICIENTE
146,La compra se realizó el lunes
55,El servicio es EXCELENTE y recomendable
295,El pedido llegó dañado
265,El producto llegó incompleto
103,El producto tiene una calidad EXCELENTE
81,El producto es RECOMENDADO
207,El producto llegó roto
9,El servicio fue BUENISIMO y rápido
211,El producto llegó roto
59,El producto funciona BUENISIMO
15,La atención fue EXCELENTE
199,El producto tiene garantía de un año
197,El producto tiene garantía de un año
84,El producto es RECOMENDADO
176,La tienda tiene varios productos
57,El producto funciona BUENISIMO
277,El servicio fue LENTO
268,La calidad es DEFICIENTE
164,El pedido llegó a las diez
70,La calidad es PERFECTA
247,La entrega fue MUY TARDE
119,La entrega fue por la mañana
241,El producto no funciona
63,El producto funciona BUENISIMO
187,El paquete fue entregado en recepción
137,El producto tiene color negro
44,El producto es MUY BUENO
244,El producto no funciona
156,El pedido llegó a las diez
19,La atención fue EXCELENTE
166,El producto viene en una caja
278,El servicio fue LENTO
180,La tienda tiene varios productos
69,La calidad es PERFECTA
172,El producto viene en una caja
54,El servicio es EXCELENTE y recomendable
91,El resultado es BUENO
95,La atención fue GENIAL
42,La experiencia fue MAGNIFICA
94,La atención fue GENIAL
214,El producto llegó roto
163,El pedido llegó a las diez
256,El producto llegó incompleto
300,El producto presentó problemas
98,La atención fue GENIAL
26,El producto está GENIAL
222,El servicio fue MALO
60,El producto funciona BUENISIMO
219,El servicio fue MALO
21,La atención fue EXCELENTE
253,La entrega fue MUY TARDE
75,El servicio fue INCREIBLE
198,El producto tiene garantía de un año
117,La entrega fue por la mañana
24,El producto está GENIAL
36,La experiencia fue MAGNIFICA
99,El producto tiene una calidad EXCELENTE
186,El paquete fue entregado en recepción
151,La compra se realizó el lunes
41,La experiencia fue MAGNIFICA
194,El paquete fue entregado en recepción
64,La calidad es PERFECTA
236,El producto no funciona
23,El producto está GENIAL
136,El producto tiene color negro
177,La tienda tiene varios productos
184,La tienda tiene varios productos
50,El servicio es EXCELENTE y recomendable
195,El paquete fue entregado en recepción
293,El pedido llegó dañado
299,El producto presentó problemas
173,El producto viene en una caja
111,El producto llegó ayer
80,El producto es RECOMENDADO
282,El servicio fue LENTO
175,El producto viene en una caja
296,El producto presentó problemas
82,El producto es RECOMENDADO
4,El producto es BUENO y funciona correctamente
143,El producto tiene color negro
230,La atención fue PESIMA
113,El producto llegó ayer
215,El producto llegó roto
298,El producto presentó problemas
102,El producto tiene una calidad EXCELENTE
288,El pedido llegó dañado
14,El servicio fue BUENISIMO y rápido
259,El producto llegó incompleto
120,La entrega fue por la mañana
112,El producto llegó ayer
48,El producto es MUY BUENO
16,La atención fue EXCELENTE
17,La atención fue EXCELENTE
217,El servicio fue MALO
45,El producto es MUY BUENO
280,El servicio fue LENTO
53,El servicio es EXCELENTE y recomendable
72,El servicio fue INCREIBLE
115,El producto llegó ayer
126,El paquete llegó cerrado
141,El producto tiene color negro
13,El servicio fue BUENISIMO y rápido
58,El producto funciona BUENISIMO
